"subjectID","structureID","nodeID","ad","ad_sd","ad_inverse_mean","ad_inverse_sd","fa","fa_sd","fa_inverse_mean","fa_inverse_sd","md","md_sd","md_inverse_mean","md_inverse_sd","rd","rd_sd","rd_inverse_mean","rd_inverse_sd","ndi","ndi_sd","ndi_inverse_mean","ndi_inverse_sd","isovf","isovf_sd","isovf_inverse_mean","isovf_inverse_sd","odi","odi_sd","odi_inverse_mean","odi_inverse_sd","x_coords","y_coords","z_coords","Timepoint","tags","datatype_tags"
"R001","ROIrhlgnROIparc203",60,1.299517869,"0.044474909","0.774935636","0.025588198",0.267462791,"0.03082758","3.956497335","0.423205606",1.004732696,"0.022705147","0.997352242","0.022478051",0.857340141,"0.031809807","1.173654465","0.043647203",0.485973592,"0.015076516","2.066336629","0.069078967",0.077472214,"0.020018718","12.25339751","3.60595587",0.203982368,"0.045801064","8.318519936","3.480345697","30.91622007","-52.71932177","14.31042802","Pre-Baseline","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R001","ROIrhlgnROIparc203",61,1.288164504,"0.038989041","0.781056944","0.023464283",0.265245911,"0.027942103","3.967491528","0.386179344",0.997463201,"0.021929993","1.004504468","0.02229435",0.852112578,"0.029343458","1.180203415","0.040802498",0.489889666,"0.013740236","2.048202586","0.060706209",0.075795347,"0.019135954","12.32946066","3.503755515",0.209048425,"0.041497845","7.64382929","3.184484452","30.81730559","-53.36758384","14.48863802","Pre-Baseline","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R001","ROIrhlgnROIparc203",62,1.285687551,"0.035912872","0.782066195","0.022358406",0.263715385,"0.02543354","3.972196762","0.350443175",0.996106675,"0.023676222","1.006001651","0.024029902",0.851316261,"0.029295751","1.18110386","0.040667153",0.492614041,"0.013715133","2.036837616","0.058485744",0.077469739,"0.018086759","12.44960965","3.286482939",0.213202997,"0.037680302","7.051344819","2.905981557","30.73422024","-54.02038888","14.65284552","Pre-Baseline","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R001","ROIrhlgnROIparc203",63,1.291326789,"0.035944069","0.778331613","0.022861589",0.26352225,"0.022219295","3.956216357","0.306158609",0.999422711,"0.028098845","1.003098475","0.028075511",0.853470696,"0.031535415","1.178386282","0.043256497",0.493254223,"0.015409002","2.03557445","0.064966273",0.08050839,"0.017456814","12.47674803","3.14563774",0.214244835,"0.032832014","6.569795837","2.524636202","30.66765403","-54.67671483","14.80460882","Pre-Baseline","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R001","ROIrhlgnROIparc203",64,1.302285893,"0.040518717","0.771580731","0.025476255",0.264031506,"0.019528562","3.927146582","0.270900354",1.005958285,"0.032965915","0.997148867","0.032417098",0.857794513,"0.034305711","1.17291373","0.046545126",0.491402272,"0.019011212","2.046080453","0.080719478",0.08357671,"0.016483488","12.59757069","3.077611884",0.213730739,"0.027422718","6.119107016","2.0751094","30.61892739","-55.33545674","14.94240305","Pre-Baseline","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R001","ROIrhlgnROIparc203",65,1.315524535,"0.045986753","0.763670634","0.028438504",0.265069729,"0.017709097","3.889006812","0.242871926",1.013609782,"0.037164842","0.99019211","0.03621769",0.862652451,"0.036914379","1.166815578","0.049878054",0.487267326,"0.022080598","2.066847216","0.094471949",0.085476448,"0.016133799","12.80408167","2.799066137",0.212264362,"0.02118114","5.726999783","1.550841225","30.58692501","-55.99603074","15.06007249","Pre-Baseline","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R001","ROIrhlgnROIparc203",66,1.326742726,"0.050399346","0.75706555","0.030671234",0.26591233,"0.017508292","3.854032142","0.233824513",1.020024793,"0.039738264","0.984381802","0.038651033",0.866665882,"0.038695906","1.161662646","0.052555937",0.482797581,"0.023858458","2.088818003","0.102776826",0.086351981,"0.017354095","13.02362642","3.06906899",0.211293404,"0.018044135","5.379757414","1.081534923","30.56704531","-56.65729278","15.15302678","Pre-Baseline","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R001","ROIrhlgnROIparc203",67,1.334187925,"0.053435829","0.752762058","0.032176446",0.265695479,"0.018326924","3.838264073","0.239164881",1.024876956,"0.040934413","0.979969396","0.039956062",0.870221533,"0.039535957","1.156852718","0.054241778",0.478734284,"0.024198059","2.10835578","0.105432982",0.086589113,"0.020134732","13.21169061","4.058987463",0.211571765,"0.017588274","5.100034016","0.701324985","30.56088002","-57.31867706","15.21804513","Pre-Baseline","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R001","ROIrhlgnROIparc203",68,1.335908875,"0.056326441","0.751931519","0.033818728",0.264972296,"0.019087431","3.834306319","0.24841235",1.026359582,"0.041114179","0.978732514","0.040473776",0.871584998,"0.038967903","1.154733455","0.054086086",0.476245444,"0.024090177","2.120896874","0.106371528",0.085747998,"0.023864752","13.8607201","6.083358161",0.212696496,"0.018930395","4.916895916","0.496454456","30.56949241","-57.97961551","15.25377537","Pre-Baseline","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R001","ROIrhlgnROIparc203",69,1.32874031,"0.058831938","0.756302009","0.035570743",0.263840746,"0.019298621","3.841398635","0.256113143",1.022095281,"0.040128922","0.982933009","0.039927644",0.868772822,"0.0366347","1.158000398","0.05119034",0.476508903,"0.025262384","2.122103078","0.113290826",0.08325961,"0.027735239","15.30882005","8.663886465",0.215639079,"0.020754671","4.785008089","0.448419405","30.59639715","-58.63841558","15.25638313","Pre-Baseline","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
