"subjectID","structureID","nodeID","ad","ad_sd","ad_inverse_mean","ad_inverse_sd","fa","fa_sd","fa_inverse_mean","fa_inverse_sd","md","md_sd","md_inverse_mean","md_inverse_sd","rd","rd_sd","rd_inverse_mean","rd_inverse_sd","ndi","ndi_sd","ndi_inverse_mean","ndi_inverse_sd","isovf","isovf_sd","isovf_inverse_mean","isovf_inverse_sd","odi","odi_sd","odi_inverse_mean","odi_inverse_sd","x_coords","y_coords","z_coords","Timepoint","tags","datatype_tags"
"R005","ROIrhlgnROIparc203",15,"1.146184224","0.090954708","0.894988166","0.060006643",0.362934011,"0.016093439","2.799651114","0.112518357",0.836732883,"0.062423842","1.218224845","0.081397729","0.682007226","0.050772655","1.500406084","0.110825534",0.540883554,"0.025673902","1.866210957","0.091978417",0.019795765,"0.018427124","3.003976668","3.056972548",0.218022958,"0.025456019","5.243313946","0.830448053","28.07600261","-29.38222884","3.256942306","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R005","ROIrhlgnROIparc203",16,"1.14257427","0.069068237","0.8964268","0.0451078",0.374205264,"0.024402135","2.73287748","0.160888165",0.819522598,"0.055556582","1.243770067","0.073448679","0.657996753","0.052107815","1.560519646","0.118874842",0.543675222,"0.028122885","1.863229397","0.102605652",0.013343601,"0.014471998","2.072996565","2.439168218",0.209801673,"0.018082215","5.390750938","0.668374341","28.62517495","-29.62078082","3.426555546","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R005","ROIrhlgnROIparc203",17,"1.142387258","0.058113054","0.89503454","0.038681464",0.382075622,"0.035472564","2.708932259","0.230668729",0.807687085,"0.049030018","1.259705053","0.064202584","0.640336975","0.053100396","1.606862084","0.125545708",0.547733255,"0.028129543","1.85209229","0.103542456",0.007606268,"0.011743198","1.295461823","2.333561034",0.20290702,"0.022354565","5.642354835","0.99118528","29.17238266","-29.87944203","3.573326052","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R005","ROIrhlgnROIparc203",18,"1.15863207","0.062053214","0.881331684","0.044782575",0.394005098,"0.042567407","2.676364695","0.270958991",0.80482796,"0.045373327","1.26150341","0.057062116","0.627925877","0.053490403","1.644998041","0.12713578",0.551888197,"0.026520675","1.836595162","0.098426623",0.005501917,"0.011150503","0.948748863","3.018377825",0.193268371,"0.030451165","6.073178264","1.315680863","29.71394195","-30.15717543","3.704798433","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R005","ROIrhlgnROIparc203",19,"1.190107346","0.052375461","0.855130913","0.039190312",0.413786449,"0.04269421","2.591795862","0.268196967",0.806964635,"0.041211673","1.255589144","0.050889066","0.615393254","0.052942015","1.685747395","0.126407634",0.55520712,"0.02477881","1.822384351","0.092008758",0.006163809,"0.010356414","1.707727594","4.819723848",0.179566116,"0.030097506","6.543534565","1.353672272","30.24570965","-30.45582636","3.826819528","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R005","ROIrhlgnROIparc203",20,"1.222899396","0.037828592","0.827747255","0.028422481",0.432764336,"0.042237219","2.487643396","0.26449447",0.811416102,"0.036672784","1.245608605","0.046912016","0.605674429","0.051550106","1.712135134","0.12685029",0.556918035,"0.023444688","1.813379718","0.086064752",0.00777303,"0.008830335","4.312142125","7.871457661",0.166482524,"0.026443076","6.903463389","1.273746548","30.76492457","-30.77461091","3.945810367","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R005","ROIrhlgnROIparc203",21,"1.254002973","0.031582531","0.803356673","0.021589625",0.442122767,"0.043471178","2.410566795","0.269345187",0.822771797,"0.035907751","1.226204801","0.048632047","0.607156175","0.05211305","1.700958381","0.133388882",0.556090855,"0.022099916","1.812360282","0.079409054",0.012235507,"0.00966829","7.758717074","9.891502733",0.155815179,"0.023755544","7.173592802","1.169160237","31.27162511","-31.10980132","4.065444895","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R005","ROIrhlgnROIparc203",22,"1.283926877","0.034958894","0.783701757","0.021596416",0.433316977,"0.041194592","2.422231327","0.254438722",0.848581373,"0.035444461","1.188394354","0.048400952","0.630908572","0.049481564","1.628348351","0.126091735",0.551101778,"0.02007187","1.825185929","0.070854648",0.023059962,"0.011849509","10.95189061","9.935154359",0.14968705,"0.022662452","7.379283667","1.121134526","31.76591153","-31.45912438","4.186460269","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R005","ROIrhlgnROIparc203",23,"1.312669408","0.037723408","0.766255624","0.022652576",0.416691004,"0.037011237","2.486379907","0.23509382",0.880859638,"0.032775407","1.143500813","0.043894661","0.664954693","0.044254696","1.534571086","0.108272719",0.543424147,"0.017724919","1.847858026","0.062443797",0.036650468,"0.012794534","12.97640547","8.216118457",0.146502203,"0.022195756","7.480311813","1.130089251","32.24692832","-31.82400308","4.306334547","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R005","ROIrhlgnROIparc203",24,"1.336802435","0.037005032","0.751546506","0.021740026",0.400376906,"0.031302257","2.564558375","0.214180965",0.910875404,"0.028561898","1.103310215","0.037133554","0.697911827","0.037277208","1.45156934","0.08615361",0.534712951,"0.015810462","1.875853758","0.057064185",0.048768534,"0.012630294","14.46496794","6.031278383",0.145236201,"0.021027119","7.462152531","1.10919241","32.71198376","-32.20607247","4.426556259","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R005","ROIrhlgnROIparc203",25,"1.355263578","0.034176416","0.740327645","0.019366061",0.389280415,"0.025647139","2.623589913","0.190694612",0.93341125,"0.023882333","1.074580132","0.029873611","0.722485033","0.029686652","1.394951606","0.065404237",0.525546515,"0.015261092","1.908157877","0.05815402",0.056412102,"0.012332934","15.40042081","4.860535778",0.144220538,"0.01900953","7.430468289","1.012877565","33.1588482","-32.60477361","4.553339893","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R005","ROIrhlgnROIparc203",26,"1.369893147","0.034679992","0.732274551","0.018881822",0.385865135,"0.02101254","2.640354916","0.166556232",0.946438102,"0.022232699","1.059077601","0.026360163","0.734710547","0.024247376","1.368560145","0.050985375",0.51630823,"0.017171921","1.944504553","0.068662025",0.058045414,"0.014374673","15.12111775","4.918089421",0.141463454,"0.017379989","7.566741123","0.928654946","33.58626992","-33.02092234","4.68629932","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R005","ROIrhlgnROIparc203",27,"1.384829049","0.037808909","0.72449358","0.020202177",0.389069507,"0.017740301","2.615250913","0.142398475",0.952979249,"0.022649834","1.05147276","0.025865516","0.737054339","0.021128474","1.362643266","0.042601663",0.506264722,"0.020568307","1.987474386","0.083928492",0.054415706,"0.018073531","14.18023371","5.182165181",0.136600515,"0.016441327","7.850095847","0.897394095","33.99075551","-33.45825973","4.822829662","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R005","ROIrhlgnROIparc203",28,"1.400182054","0.039548438","0.716441815","0.020956219",0.397360608,"0.016038743","2.556640009","0.125975237",0.954650732,"0.02271124","1.049255199","0.025278936","0.731885082","0.019526694","1.371249944","0.038024463",0.494669207,"0.023206282","2.038171458","0.095525869",0.045720605,"0.02059677","13.7979897","5.948958953",0.130418918,"0.015406813","8.204898455","0.838640255","34.36979869","-33.91754199","4.966286936","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R005","ROIrhlgnROIparc203",29,"1.414594447","0.038041091","0.708787028","0.019906011",0.407514468,"0.014527053","2.485644241","0.110414957",0.953719752,"0.022416399","1.049956429","0.024460703","0.723282424","0.019259317","1.386801383","0.036994602",0.48302649,"0.023964312","2.088308772","0.100063151",0.034519147,"0.020558972","15.68213974","7.705319584",0.12372708,"0.013556558","8.610885708","0.761831029","34.7229892","-34.39694102","5.118892976","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R005","ROIrhlgnROIparc203",30,"1.428827209","0.035388173","0.701474876","0.01809885",0.41555434,"0.013219155","2.430485634","0.094557885",0.9545764,"0.022747044","1.048955796","0.024430174","0.717451009","0.02030472","1.397722684","0.038968533",0.473210519,"0.022504663","2.129707677","0.09713525",0.025362017,"0.016670668","19.67989337","9.772816226",0.116767875,"0.011977463","9.106170001","0.748053716","35.04923721","-34.89599411","5.275702283","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R005","ROIrhlgnROIparc203",31,"1.445573935","0.033118329","0.693236793","0.016492528",0.419796053,"0.012619213","2.401760629","0.082246417",0.960705882,"0.023779478","1.042380338","0.025296573","0.718271854","0.022296925","1.396315543","0.04277904",0.46617558,"0.021106705","2.160681868","0.096172209",0.022387217,"0.012755303","23.30263565","11.81398454",0.110507182,"0.010635166","9.586107507","0.72907681","35.3470673","-35.41304355","5.435829497","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R005","ROIrhlgnROIparc203",32,"1.46407352","0.030036664","0.684365398","0.01456186",0.42107472,"0.012603666","2.393995243","0.077011785",0.970758992,"0.0233447","1.031622577","0.024643269","0.724101713","0.023018373","1.385526658","0.043977363",0.460370728,"0.021488815","2.188553834","0.103002382",0.024270515,"0.011841833","25.72724625","15.53725038",0.106246409,"0.009386848","9.920112058","0.713431998","35.61638555","-35.94493745","5.603879575","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R005","ROIrhlgnROIparc203",33,"1.480863897","0.025646503","0.676536184","0.012025639",0.419417863,"0.013743191","2.406927134","0.084685496",0.982474138,"0.021188503","1.019309161","0.021980384","0.733279242","0.022738682","1.368884753","0.042629793",0.454414161,"0.022204759","2.218000808","0.11041557",0.028227252,"0.012195673","29.31648215","22.62582492",0.104662657,"0.008444496","10.07407153","0.723618851","35.85610326","-36.49009941","5.778184718","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R005","ROIrhlgnROIparc203",34,"1.494609076","0.024106534","0.670489769","0.010607283",0.413860364,"0.015674837","2.444318747","0.099774998",0.996110112,"0.020023932","1.005547016","0.01985962","0.746860627","0.023279059","1.344865762","0.042005474",0.447953846,"0.02153915","2.249357853","0.110376104",0.032715664,"0.012024906","36.34591683","31.52956375",0.104782986,"0.008565548","10.1666183","0.852496547","36.06382359","-37.04726906","5.956959262","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R005","ROIrhlgnROIparc203",35,"1.505373589","0.028267511","0.666254276","0.011742012",0.404495866,"0.016407309","2.504226731","0.107552875",1.011762395,"0.02060613","0.990336244","0.019353668","0.764956811","0.023310593","1.313298219","0.040343973",0.441724387,"0.019504936","2.280215127","0.102280835",0.037582654,"0.010432451","42.56753395","36.29862175",0.105835325,"0.009933512","10.2895086","1.157630178","36.24130629","-37.61310904","6.143222153","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R005","ROIrhlgnROIparc203",36,"1.512171596","0.0337721","0.663885715","0.013617567",0.394427477,"0.016992434","2.568968826","0.114508094",1.025782259,"0.021891814","0.976949072","0.019656013","0.782587605","0.023489854","1.282960449","0.038854753",0.435063299,"0.017924468","2.31447128","0.095193908",0.040328911,"0.009867545","44.51498634","35.46958191",0.10688265,"0.011585933","10.50808224","1.585758486","36.38924341","-38.186566","6.333271804","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R005","ROIrhlgnROIparc203",37,"1.513596792","0.03864185","0.663722911","0.01533766",0.38456742,"0.01812379","2.636266294","0.127217675",1.036341843,"0.02375176","0.967076927","0.020556624","0.797714373","0.024903934","1.258040099","0.038864403",0.428068472,"0.017555446","2.351960734","0.094748539",0.04046892,"0.011056202","41.87786608","29.51914967",0.107204239,"0.01355689","10.89235513","2.094767452","36.50344414","-38.76860885","6.519039415","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R005","ROIrhlgnROIparc203",38,"1.510175075","0.042275557","0.665415339","0.016514883",0.373269596,"0.019964618","2.722434983","0.147217052",1.045594963,"0.026485025","0.958822752","0.022490668","0.813304899","0.028376095","1.234837044","0.042228843",0.422535858,"0.018382419","2.384709751","0.101346915",0.04126619,"0.011901908","35.38938943","21.65810531",0.106263445,"0.015073149","11.44556617","2.514239317","36.58367422","-39.35730975","6.700018778","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R005","ROIrhlgnROIparc203",39,"1.505288809","0.044344414","0.667620338","0.017156989",0.361048007,"0.022102803","2.822736398","0.170922616",1.055156677,"0.029037932","0.95049135","0.024542025","0.830090597","0.032399515","1.211273564","0.046815981",0.418873511,"0.019838924","2.409313574","0.110778735",0.044201509,"0.011585309","27.77525823","13.68381173",0.104839469,"0.016362521","11.99834383","2.815161241","36.63589747","-39.94996664","6.878756314","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R005","ROIrhlgnROIparc203",40,"1.500071908","0.046556598","0.670068978","0.018111638",0.349485623,"0.024518215","2.925790417","0.199400326",1.064022379,"0.031130909","0.94280944","0.026411608","0.8459976","0.036063377","1.189543326","0.051050713",0.417354359,"0.021205679","2.421822207","0.118469199",0.04906169,"0.011059644","21.65351736","7.99934314",0.104878201,"0.018667494","12.34234273","3.02912205","36.66393731","-40.54550129","7.05368778","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R005","ROIrhlgnROIparc203",41,"1.493377752","0.049772833","0.673507746","0.019776906",0.340663416,"0.028278818","3.021024216","0.240972577",1.069319028,"0.033336253","0.938364992","0.028488973","0.857289653","0.040706356","1.175130218","0.056566028",0.418748025,"0.021489026","2.415823455","0.119306753",0.054862189,"0.011292489","18.29596759","4.83485784",0.108304611,"0.021766289","12.3313436","3.166717574","36.66863339","-41.14348825","7.222558777","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R005","ROIrhlgnROIparc203",42,"1.485730178","0.054047362","0.677828825","0.022053855",0.335844118,"0.033678771","3.099816068","0.295089758",1.070157177,"0.03560593","0.937994214","0.030649284","0.862370661","0.046679069","1.170473754","0.064043036",0.422912074,"0.020269779","2.392096973","0.111114212",0.060687624,"0.012539624","17.67131114","4.916256181",0.114623184,"0.024476594","12.07605189","3.265362684","36.6544775","-41.74310869","7.384707687","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R005","ROIrhlgnROIparc203",43,"1.478135677","0.057870947","0.682384262","0.024290543",0.334313985,"0.038938636","3.153347778","0.346107454",1.067634317,"0.03783612","0.940635463","0.032847641","0.862383618","0.052678577","1.173054693","0.072064255",0.427813506,"0.018313415","2.363808397","0.098794859",0.064634176,"0.015088173","18.49270417","6.681240527",0.120996614,"0.026510142","11.93707923","3.332112695","36.62287523","-42.34397543","7.540939547","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R005","ROIrhlgnROIparc203",44,"1.471684364","0.060000583","0.68649429","0.025811465",0.336381743,"0.042887709","3.16703558","0.386098911",1.061705561,"0.038462328","0.946139378","0.033683284","0.85671614","0.056629816","1.182676408","0.077605773",0.433352821,"0.01666244","2.332793161","0.08736712",0.066237267,"0.018389742","19.93816228","8.282841576",0.125378565,"0.028501544","12.20519647","3.383950697","36.57048745","-42.94492205","7.694094134","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R005","ROIrhlgnROIparc203",45,"1.465584498","0.060413118","0.690073872","0.026504095",0.342587728,"0.045026697","3.126478795","0.41481328",1.050849978,"0.035463893","0.955731414","0.031455225","0.843482708","0.056720899","1.201385289","0.07809237",0.441603838,"0.015684037","2.289162975","0.079109105",0.065844,"0.020760292","21.05240214","9.136374789",0.125419921,"0.033017481","13.19619875","3.464537874","36.50015596","-43.5450832","7.84506386","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R005","ROIrhlgnROIparc203",46,"1.462535824","0.062046226","0.691847576","0.027810186",0.350564458,"0.046384278","3.060794009","0.441836998",1.039822757,"0.030837713","0.965452884","0.027831199","0.828466224","0.055011673","1.222278814","0.076158393",0.450030139,"0.01569961","2.245783971","0.076057753",0.064749752,"0.022233588","21.98088367","10.46072707",0.120639257,"0.043160772","14.53520029","3.751587875","36.41954028","-44.14476314","7.993147621","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R005","ROIrhlgnROIparc203",47,"1.463666707","0.064566635","0.69135454","0.029708585",0.360499935,"0.045272473","2.969462621","0.440945545",1.029383685,"0.025076248","0.974835293","0.023238748","0.812242186","0.049537075","1.245254837","0.069605249",0.457972533,"0.016592999","2.207140549","0.077573394",0.063215935,"0.021446531","23.21234427","10.28819815",0.112352281,"0.05292986","15.80782304","4.020231336","36.33046748","-44.74370595","8.139795962","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R005","ROIrhlgnROIparc203",48,"1.465129282","0.064279704","0.690162295","0.030326124",0.371237502,"0.04107874","2.86193597","0.392893451",1.018510547,"0.02061259","0.985109557","0.019704275","0.795201196","0.040705703","1.271000736","0.059501777",0.466201217,"0.018061577","2.170698308","0.081094075",0.061784148,"0.016457403","25.99015057","10.98464438",0.103589189,"0.05284869","16.46322445","4.048910812","36.23109934","-45.34105873","8.288294374","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R005","ROIrhlgnROIparc203",49,"1.462143186","0.062441496","0.690691424","0.03032755",0.379495727,"0.035979307","2.771619086","0.321578027",1.007647647,"0.019180599","0.995588851","0.018969302","0.780399892","0.031649917","1.294412793","0.05040342",0.475225963,"0.019186391","2.131542431","0.082952754",0.061789886,"0.012179569","29.49918525","14.87301319",0.098182835,"0.047474717","16.51509719","3.994250804","36.12200899","-45.9369376","8.436712884","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
"R005","ROIrhlgnROIparc203",50,"1.453997783","0.060658849","0.693592288","0.030344153",0.383950487,"0.031229","2.718611019","0.249051686",0.997893698,"0.020710838","1.005160003","0.02096542","0.769841669","0.025398147","1.312613252","0.045689191",0.484053074,"0.019466206","2.092132473","0.082022867",0.063136679,"0.013982051","31.46688962","18.88558794",0.097054562,"0.041602968","16.19520559","3.866798536","36.00298723","-46.53196291","8.580789171","Pre-Training","['sd_2.8', 'roi_lgn_mt_tract_profiles', '1000_streamlines', 'ensemble']","['profiles']"
